Genome,Phylum,Paper,Loaded,Complete,Chrs,Plasmids,Genes
Burkholderia thailandensis MSMB43,Proteobacteria,,24-03-08,no,,,7481
Burkholderia thailandensis TXDOH,Proteobacteria,,24-03-08,no,,,6776
Burkholderia ubonensis Bu,Proteobacteria,,24-03-08,no,,,7251
Burkholderia vietnamiensis G4,Proteobacteria,,25-11-09,yes,3,5,7863
Burkholderia xenovorans LB400,Proteobacteria,,24-03-08,yes,3,0,9042
Caldicellulosiruptor saccharolyticus DSM 8903,Firmicutes,,24-03-08,yes,1,0,2829
"Calditerrivibrio nitroreducens Yu37-1, DSM 19672",Deferribacteres,,16-11-10,no,,,2178
"Caldithrix abyssi LF13, DSM 13497",Unknown,,16-11-10,no,,,3881
Caminibacter mediatlanticus TB-2,Proteobacteria,,24-03-08,no,,,1889
Campylobacter coli RM2228,Proteobacteria,,25-11-09,no,,,2039
Campylobacter concisus 13826,Proteobacteria,,25-11-09,yes,1,2,2195
Campylobacter curvus 525.92,Proteobacteria,,25-11-09,yes,1,0,2108
Campylobacter fetus subsp. fetus 82-40,Proteobacteria,,08-05-07,yes,1,0,1820
Campylobacter hominis ATCC BAA-381,Proteobacteria,,24-03-08,yes,1,1,1804
Campylobacter jejuni RM1221,Proteobacteria,yes,25-08-05,yes,1,0,1940
Campylobacter jejuni subsp. doylei 269.97,Proteobacteria,,25-11-09,yes,1,0,2037
Campylobacter jejuni subsp. jejuni 260.94,Proteobacteria,,08-05-07,no,,,1760
Campylobacter jejuni subsp. jejuni 81-176,Proteobacteria,,08-05-07,yes,1,5,1959
Campylobacter jejuni subsp. jejuni 81116,Proteobacteria,yes,24-03-08,yes,1,0,1681
Campylobacter jejuni subsp. jejuni 84-25,Proteobacteria,,08-05-07,no,,,1794
Campylobacter jejuni subsp. jejuni BH-01-0142,Proteobacteria,yes,21-04-09,no,,,106
Campylobacter jejuni subsp. jejuni CF93-6,Proteobacteria,,08-05-07,no,,,1803
Campylobacter jejuni subsp. jejuni CG8421,Proteobacteria,yes,21-04-09,no,,,1521
Campylobacter jejuni subsp. jejuni CG8486,Proteobacteria,yes,24-03-08,no,,,1428
Campylobacter jejuni subsp. jejuni HB93-13,Proteobacteria,,08-05-07,no,,,1710
Campylobacter jejuni subsp. jejuni NCTC 11168,Proteobacteria,yes,25-11-09,yes,1,0,1699
Campylobacter lari RM2100,Proteobacteria,,25-11-09,yes,1,1,1613
Campylobacter rectus RM3267,Proteobacteria,,21-04-09,no,,,3305
Campylobacter upsaliensis RM3195,Proteobacteria,,08-05-07,no,,,1998
Candidatus Accumulibacter phosphatis clade IIA str. UW-1,Proteobacteria,,25-11-09,yes,1,3,4793
Candidatus Amoebophilus asiaticus 5a2,Bacteroidetes,,21-04-09,yes,1,0,1899
Candidatus Azobacteroides pseudotrichonymphae genomovar. CFP2,Bacteroidetes,,21-04-09,yes,1,4,894
Candidatus Blochmannia floridanus,Proteobacteria,yes,29-06-04,yes,1,0,631
Candidatus Blochmannia pennsylvanicus str. BPEN,Proteobacteria,yes,18-01-06,yes,1,0,658
Candidatus Carsonella ruddii PV,Proteobacteria,,22-11-06,yes,1,0,213
Candidatus Cloacamonas acidaminovorans,Unknown,yes,24-05-10,no,,,1869
Candidatus Desulfococcus oleovorans Hxd3,Proteobacteria,,25-11-09,yes,1,0,3323
Candidatus Hamiltonella defensa 5AT (Acyrthosiphon pisum),Proteobacteria,yes,25-11-09,yes,1,1,2420
Candidatus Hodgkinia cicadicola Dsem,Proteobacteria,yes,25-11-09,yes,1,0,189
Candidatus Liberibacter asiaticus str. psy62,Proteobacteria,,25-11-09,yes,1,0,1162
Candidatus Pelagibacter ubique HTCC1002,Proteobacteria,,08-05-07,no,,,1423
Candidatus Pelagibacter ubique HTCC1062,Proteobacteria,yes,25-08-05,yes,1,0,1390
Candidatus Phytoplasma australiense,Tenericutes,yes,21-04-09,yes,1,3,894
Candidatus Phytoplasma mali,Tenericutes,yes,21-04-09,yes,1,0,536
Candidatus Riesia pediculicola USDA,Proteobacteria,,24-05-10,yes,1,1,598
Candidatus Ruthia magnifica str. Cm (Calyptogena magnifica),Proteobacteria,yes,08-05-07,yes,1,0,1117
Candidatus Sulcia muelleri DMIN,Bacteroidetes,,24-05-10,yes,1,0,261
Candidatus Sulcia muelleri GWSS,Bacteroidetes,yes,24-03-08,yes,1,0,264
Candidatus Sulcia muelleri SMDSEM,Bacteroidetes,yes,25-11-09,yes,1,0,279
Candidatus Sulcia muelleri str. Hc (Homalodisca coagulata),Bacteroidetes,,08-05-07,no,,,184
Candidatus Vesicomyosocius okutanii HA,Proteobacteria,yes,24-03-08,yes,1,0,978
Capnocytophaga ochracea DSM 7271,Bacteroidetes,,25-11-09,yes,1,0,2255
Capnocytophaga sputigena Capno,Bacteroidetes,,21-04-09,no,,,2842
Carboxydothermus hydrogenoformans Z-2901,Firmicutes,yes,18-01-06,yes,1,0,2707
Carnobacterium sp. AT7,Firmicutes,,24-03-08,no,,,2489
Catenibacterium mitsuokai DSM 15897,Firmicutes,,21-04-09,no,,,3057
Catenulispora acidiphila DSM 44928,Actinobacteria,,25-11-09,yes,1,0,9128
Caulobacter crescentus CB15,Proteobacteria,yes,,yes,1,0,3817
Caulobacter crescentus NA1000,Proteobacteria,,21-04-09,yes,1,0,3989
Caulobacter segnis ATCC 21756,Proteobacteria,,24-05-10,yes,1,0,4325
Caulobacter sp. K31,Proteobacteria,,25-11-09,yes,1,2,5515
"Cellulophaga algicola IC166, DSM 14237",Bacteroidetes,,16-11-10,no,,,4513
"Cellulophaga lytica Cy l20, DSM 7489",Bacteroidetes,,16-11-10,no,,,3426
Cellulophaga sp. MED134,Bacteroidetes,,08-05-07,no,,,2990
Cellvibrio japonicus Ueda107,Proteobacteria,yes,21-04-09,yes,1,0,3816
Chitinophaga pinensis DSM 2588,Bacteroidetes,,25-11-09,yes,1,0,7399
Chlamydia muridarum Nigg,Chlamydiae,yes,25-11-09,yes,1,1,962
Chlamydia trachomatis 434/Bu,Chlamydiae,yes,24-03-08,yes,1,0,934
Chlamydia trachomatis 6276,Chlamydiae,,21-04-09,no,,,
Chlamydia trachomatis 6276s,Chlamydiae,,21-04-09,no,,,
Chlamydia trachomatis 70,Chlamydiae,,21-04-09,no,,,
Chlamydia trachomatis 70s,Chlamydiae,,21-04-09,no,,,
Chlamydia trachomatis A/HAR-13,Chlamydiae,yes,18-01-06,yes,1,1,963
Chlamydia trachomatis B/Jali20/OT,Chlamydiae,,25-11-09,yes,1,1,937
Chlamydia trachomatis B/TZ1A828/OT,Chlamydiae,,25-11-09,yes,1,0,930
Chlamydia trachomatis D(s)2923,Chlamydiae,,21-04-09,no,,,
Chlamydia trachomatis D/UW-3/CX,Chlamydiae,yes,25-11-09,yes,1,0,940
Chlamydia trachomatis L2b/UCH-1/proctitis,Chlamydiae,yes,24-03-08,yes,1,0,934
Chlamydophila abortus S26/3,Chlamydiae,,25-08-05,yes,1,0,1003
Chlamydophila caviae GPIC,Chlamydiae,yes,,yes,1,1,1060
Chlamydophila felis Fe/C-56,Chlamydiae,,17-04-06,yes,1,1,1054
Chlamydophila pneumoniae AR39,Chlamydiae,yes,08-05-07,yes,1,0,1166
Chlamydophila pneumoniae CWL029,Chlamydiae,yes,,yes,1,0,1112
Chlamydophila pneumoniae J138,Chlamydiae,yes,,yes,1,0,1110
Chlamydophila pneumoniae TW-183,Chlamydiae,,19-10-04,yes,1,0,1155
Chlorobaculum parvum NCIB 8327,Chlorobi,,21-04-09,yes,1,0,2141
Chlorobium chlorochromatii CaD3,Chlorobi,,18-01-06,yes,1,0,2050
Chlorobium ferrooxidans DSM 13031,Chlorobi,,08-05-07,no,,,2205
Chlorobium limicola DSM 245,Chlorobi,,25-11-09,yes,1,0,2578
Chlorobium phaeobacteroides BS1,Chlorobi,,25-11-09,yes,1,0,2619
Chlorobium phaeobacteroides DSM 266,Chlorobi,,08-05-07,yes,1,0,2799
Chloroflexus aggregans DSM 9485,Chloroflexi,,25-11-09,yes,1,0,3904
Chloroflexus aurantiacus J-10-fl,Chloroflexi,,24-03-08,yes,1,0,3990
Chloroflexus sp. Y-400-fl,Chloroflexi,,21-04-09,yes,1,0,4308
Chloroherpeton thalassium ATCC 35110,Chlorobi,,21-04-09,yes,1,0,2782
Chromobacterium violaceum ATCC 12472,Proteobacteria,yes,29-06-04,yes,1,0,4530
Chromohalobacter salexigens DSM 3043,Proteobacteria,,22-11-06,yes,1,0,3409
Chthoniobacter flavus Ellin428,Verrucomicrobia,,21-04-09,no,,,6776
Citrobacter koseri ATCC BAA-895,Proteobacteria,,24-03-08,yes,1,2,5153
Citrobacter rodentium ICC168,Proteobacteria,yes,24-05-10,yes,1,3,5257
Citrobacter sp. 30_2,Proteobacteria,,21-04-09,no,,,
Citrobacter youngae ATCC 29220,Proteobacteria,,21-04-09,no,,,
Clavibacter michiganensis subsp. michiganensis NCPPB 382,Actinobacteria,,24-03-08,yes,1,2,3168
Clavibacter michiganensis subsp. sepedonicus,Actinobacteria,yes,21-04-09,yes,1,2,3287
"Cloacibacillus evryensis 158, DSM 19522",Synergistetes,,16-11-10,no,,,3133
Clostridiales bacterium 1_7_47_FAA,Firmicutes,,21-04-09,no,,,6241
Clostridiales genomosp. BVAB3 str. UPII9-5,Firmicutes,,24-05-10,yes,1,0,1631
Clostridium acetobutylicum ATCC 824,Firmicutes,yes,25-11-09,yes,1,1,4020
Clostridium asparagiforme DSM 15981,Firmicutes,,21-04-09,no,,,
Clostridium bartlettii DSM 16795,Firmicutes,,24-03-08,no,,,2871
Clostridium beijerincki NCIMB 8052,Firmicutes,,25-11-09,yes,1,0,5243
Clostridium bolteae ATCC BAA-613,Firmicutes,,24-03-08,no,,,7349
Clostridium botulinum A str. ATCC 19397,Firmicutes,,24-03-08,yes,1,0,3700
Clostridium botulinum A str. ATCC 3502,Firmicutes,yes,24-03-08,yes,1,1,3792
Clostridium botulinum A str. Hall,Firmicutes,,24-03-08,yes,1,0,3575
Clostridium botulinum A2 str. Kyoto,Firmicutes,,25-11-09,yes,1,0,4035
Clostridium botulinum A3 str. Loch Maree,Firmicutes,yes,21-04-09,yes,1,1,4111
Clostridium botulinum B str. Eklund 17B,Firmicutes,,21-04-09,yes,1,1,3647
Clostridium botulinum B1 str. Okra,Firmicutes,yes,21-04-09,yes,1,1,3978
Clostridium botulinum Ba4 str. 657,Firmicutes,yes,25-11-09,yes,1,2,4255
Clostridium botulinum Bf,Firmicutes,,24-03-08,no,,,4223
Clostridium botulinum C str. Eklund,Firmicutes,,24-03-08,no,,,2954
Clostridium botulinum E3 str. Alaska E43,Firmicutes,,21-04-09,yes,1,0,3383
Clostridium botulinum F str. Langeland,Firmicutes,,24-03-08,yes,1,1,3866
Clostridium botulinum G,Firmicutes,,24-03-08,no,,,
Clostridium botulinum NCTC 2916,Firmicutes,,24-03-08,no,,,3893
Clostridium botulinum str. Iwanei E,Firmicutes,,24-03-08,no,,,
Clostridium butyricum 5521,Firmicutes,,21-04-09,no,,,4211
Clostridium cellulolyticum H10,Firmicutes,,25-11-09,yes,1,0,3578
Clostridium difficile 630,Firmicutes,,24-03-08,yes,1,1,3982
Clostridium difficile ATCC 43255,Firmicutes,,24-03-08,no,,,
Clostridium difficile CD196,Firmicutes,,25-11-09,yes,1,0,3595
Clostridium difficile CIP 107932,Firmicutes,,24-03-08,no,,,
Clostridium difficile QCD-23m63,Firmicutes,,24-03-08,no,,,
Clostridium difficile QCD-32g58,Firmicutes,,24-03-08,no,,,4071
Clostridium difficile QCD-37x79,Firmicutes,,24-03-08,no,,,4104
Clostridium difficile QCD-63q42,Firmicutes,,24-03-08,no,,,4287
Clostridium difficile QCD-66c26,Firmicutes,,24-03-08,no,,,
Clostridium difficile QCD-76w55,Firmicutes,,24-03-08,no,,,4111
Clostridium difficile QCD-97b34,Firmicutes,,24-03-08,no,,,3797
Clostridium difficile R20291,Firmicutes,,25-11-09,yes,1,0,3629
Clostridium hiranonis DSM 13275,Firmicutes,,21-04-09,no,,,2304
Clostridium hylemonae DSM 15053,Firmicutes,,21-04-09,no,,,
Clostridium kluyveri DSM 555,Firmicutes,,24-03-08,yes,1,1,3994
Clostridium kluyveri NBRC 12016,Firmicutes,,21-04-09,yes,1,1,3604
Clostridium leptum DSM 753,Firmicutes,,24-03-08,no,,,3979
Clostridium methylpentosum DSM 5476,Firmicutes,,21-04-09,no,,,
Clostridium nexile DSM 1787,Firmicutes,,21-04-09,no,,,4301
Clostridium novyi NT,Firmicutes,yes,08-05-07,yes,1,0,2427
Clostridium perfringens ATCC 13124,Firmicutes,,22-11-06,yes,1,0,3017
Clostridium perfringens B str. ATCC 3626,Firmicutes,,24-03-08,no,,,3721
Clostridium perfringens C str. JGS1495,Firmicutes,,24-03-08,no,,,3447
Clostridium perfringens CPE str. F4969,Firmicutes,yes,25-11-09,no,,,3356
Clostridium perfringens D str. JGS1721,Firmicutes,,21-04-09,no,,,3904
Clostridium perfringens E str. JGS1987,Firmicutes,,24-03-08,no,,,4040
Clostridium perfringens NCTC 8239,Firmicutes,,24-03-08,no,,,3072
Clostridium perfringens SM101,Firmicutes,,22-11-06,yes,1,2,2721
Clostridium perfringens str. 13,Firmicutes,yes,25-11-09,yes,1,1,2849
Clostridium phytofermentans ISDg,Firmicutes,,26-04-08,yes,1,0,4026
Clostridium ramosum DSM 1402,Firmicutes,,24-03-08,no,,,3220
Clostridium scindens ATCC 35704,Firmicutes,,24-03-08,no,,,4078
Clostridium sp. 7_2_43FAA,Firmicutes,,21-04-09,no,,,
Clostridium sp. L2-50,Firmicutes,,24-03-08,no,,,3004
Clostridium sp. OhILAs,Firmicutes,,25-11-09,yes,1,0,2991
Clostridium sp. SS2/1,Firmicutes,,24-03-08,no,,,3243
Clostridium spiroforme DSM 1552,Firmicutes,,24-03-08,no,,,2533
Clostridium sporogenes ATCC 15579,Firmicutes,,21-04-09,no,,,3873
Clostridium tetani E88,Firmicutes,yes,08-05-07,yes,1,1,2510
Clostridium thermocellum ATCC 27405,Firmicutes,,26-04-08,yes,1,0,3306
Clostridium thermocellum DSM 4150,Firmicutes,,21-04-09,no,,,3021
Collinsella intestinalis DSM 13280,Actinobacteria,,21-04-09,no,,,1841
Collinsella stercoris DSM 13279,Actinobacteria,,21-04-09,no,,,2585
Colwellia psychrerythraea 34H,Proteobacteria,yes,25-08-05,yes,1,0,5054
Comamonas testosteroni CNB-2,Proteobacteria,yes,24-05-10,yes,1,0,4887
Comamonas testosteroni KF-1,Proteobacteria,,08-05-07,no,,,5534
Conexibacter woesei DSM 14684,Actinobacteria,,24-05-10,yes,1,0,6001
Congregibacter litoralis KT71,Proteobacteria,,24-03-08,no,,,3988
Coprococcus eutactus ATCC 27759,Firmicutes,,24-03-08,no,,,3051
Coprothermobacter proteolyticus DSM 5265,Firmicutes,,21-04-09,yes,1,0,1541
Coraliomargarita akajimensis DSM 45221,Verrucomicrobia,,24-05-10,yes,1,0,3192
"Coriobacterium glomerans PW2, DSM 20642",Actinobacteria,,16-11-10,no,,,1858
Corynebacterium accolens ATCC 49725,Actinobacteria,,21-04-09,no,,,
Corynebacterium amycolatum SK46,Actinobacteria,,21-04-09,no,,,2241
Corynebacterium aurimucosum ATCC 700975,Actinobacteria,,24-05-10,yes,1,1,2633
Corynebacterium diphtheriae NCTC 13129,Actinobacteria,yes,25-11-09,yes,1,0,2389
Corynebacterium efficiens YS-314,Actinobacteria,yes,25-11-09,yes,1,2,3064
Corynebacterium glucuronalyticum ATCC 51867,Actinobacteria,,21-04-09,no,,,
Corynebacterium glutamicum ATCC 13032,Actinobacteria,yes,21-04-09,yes,1,0,3144
Corynebacterium glutamicum R,Actinobacteria,yes,24-03-08,yes,1,1,3156
Corynebacterium jeikeium K411,Actinobacteria,yes,08-05-07,yes,1,1,2181
Corynebacterium kroppenstedtii DSM 44385,Actinobacteria,yes,25-11-09,yes,1,0,2083
Corynebacterium matruchotii ATCC 33806,Actinobacteria,,21-04-09,no,,,
Corynebacterium pseudogenitalium ATCC 33035,Actinobacteria,,21-04-09,no,,,
Corynebacterium striatum ATCC 6940,Actinobacteria,,21-04-09,no,,,
Corynebacterium urealyticum DSM 7109,Actinobacteria,yes,21-04-09,yes,1,0,2084
Coxiella burnetii 'MSU Goat Q177',Proteobacteria,,25-11-09,no,,,57
Coxiella burnetii CbuG_Q212,Proteobacteria,yes,21-04-09,yes,1,0,2096
Coxiella burnetii CbuK_Q154,Proteobacteria,yes,21-04-09,yes,1,1,2188
Coxiella burnetii Dugway 5J108-111,Proteobacteria,,24-03-08,yes,1,1,2362
Coxiella burnetii RSA 331,Proteobacteria,,25-11-09,yes,1,1,2277
Coxiella burnetii RSA 334,Proteobacteria,,24-03-08,no,,,2386
Coxiella burnetii RSA 493,Proteobacteria,yes,08-05-07,yes,1,1,2096
Croceibacter atlanticus HTCC2559,Bacteroidetes,,08-05-07,no,,,2756
Crocosphaera watsonii WH 8501,Cyanobacteria,,08-05-07,no,,,5996
Cronobacter turicensis z3032,Proteobacteria,,24-05-10,yes,1,0,4325
Cryptobacterium curtum DSM 15641,Actinobacteria,,25-11-09,yes,1,0,1422
Cupriavidus taiwanensis,Proteobacteria,yes,21-04-09,yes,2,3,6067
Cyanothece sp. ATCC 51142,Cyanobacteria,yes,21-04-09,yes,2,4,5367
Cyanothece sp. CCY 0110,Cyanobacteria,,24-03-08,no,,,6520
Cyanothece sp. PCC 7424,Cyanobacteria,,21-04-09,yes,1,6,5944
Cyanothece sp. PCC 7425,Cyanobacteria,,21-04-09,yes,1,3,5515
Cyanothece sp. PCC 7822,Cyanobacteria,,21-04-09,no,,,5266
Cyanothece sp. PCC 8801,Cyanobacteria,,21-04-09,yes,1,3,4620
Cyanothece sp. PCC 8802,Cyanobacteria,,25-11-09,yes,1,4,4700
Cyclobacterium marinum DSM 745,Bacteroidetes,,16-11-10,no,,,5611
"Cytophaga fermentans IAM 14302, DSM 9555",Bacteroidetes,,16-11-10,no,,,5481
Cytophaga hutchinsonii ATCC 33406,Bacteroidetes,,22-11-06,yes,1,0,3837
Dechloromonas aromatica RCB,Proteobacteria,yes,20-07-05,yes,1,0,4283
Deferribacter desulfuricans SSM1,Deferribacteres,yes,24-05-10,yes,1,1,2442
Dehalococcoides ethenogenes 195,Chloroflexi,yes,25-08-05,yes,1,0,1642
Dehalococcoides sp. BAV1,Chloroflexi,,24-03-08,yes,1,0,1436
Dehalococcoides sp. CBDB1,Chloroflexi,yes,18-01-06,yes,1,0,1510
Dehalococcoides sp. GT,Chloroflexi,,24-05-10,yes,1,0,1484
Dehalococcoides sp. VS,Chloroflexi,,24-03-08,no,,,2158
Deinococcus deserti VCD115,Deinococcus-Thermus,yes,25-11-09,yes,1,3,3511
Deinococcus geothermalis,Deinococcus-Thermus,,02-11-04,no,,,2908
Deinococcus geothermalis DSM 11300,Deinococcus-Thermus,,24-03-08,yes,1,2,3142
"Deinococcus hopiensis KR-140, DSM 18049",Deinococcus-Thermus,,16-11-10,no,,,6921
"Deinococcus maricopensis LB-34, DSM 21211",Deinococcus-Thermus,,16-11-10,no,,,3426
"Deinococcus proteolyticus MRP, DSM 20540",Deinococcus-Thermus,,16-11-10,no,,,2834
Deinococcus radiodurans R1,Deinococcus-Thermus,yes,25-11-09,yes,2,2,3238
Delftia acidovorans SPH-1,Proteobacteria,,24-03-08,yes,1,0,6153
Denitrovibrio acetiphilus DSM 12809,Deferribacteres,,24-05-10,yes,1,0,3068
Desulfatibacillum alkenivorans AK-01,Proteobacteria,,25-11-09,yes,1,0,5359
Desulfitobacterium hafniense DCB-2,Firmicutes,,25-11-09,yes,1,0,5049
Desulfitobacterium hafniense Y51,Firmicutes,yes,12-04-06,yes,1,0,5137
Desulfobacca acetoxidans DSM 11109,Proteobacteria,,16-11-10,no,,,3032
Desulfobacterium autotrophicum HRM2,Proteobacteria,yes,21-04-09,yes,1,1,5017
"Desulfobulbus propionicus Lindhorst, DSM 2032",Proteobacteria,,16-11-10,no,,,3412
Desulfohalobium retbaense DSM 5692,Proteobacteria,,25-11-09,yes,1,1,2612
Desulfomicrobium baculatum DSM 4028,Proteobacteria,,25-11-09,yes,1,0,3568
"Desulfomonile tiedjei DCB-1, DSM 6799",Proteobacteria,,16-11-10,no,,,5729
Desulfonispora thiosulfatigenes DSM 11270,Firmicutes,,16-11-10,no,,,2489
Desulforudis audaxviator MP104C,Firmicutes,,21-11-06,yes,1,0,2298
Desulfotalea psychrophila LSv54,Proteobacteria,yes,19-10-04,yes,1,2,3322
Desulfotomaculum acetoxidans DSM 771,Firmicutes,,25-11-09,yes,1,0,4470
Desulfotomaculum reducens MI-1,Firmicutes,,24-03-08,yes,1,0,3423
Desulfovibrio desulfuricans G20,Proteobacteria,,05-03-08,yes,1,0,3371
Desulfovibrio desulfuricans subsp. desulfuricans str. ATCC 27774,Proteobacteria,,19-01-10,yes,1,0,2454
Desulfovibrio magneticus RS-1,Proteobacteria,,25-11-09,yes,1,2,4760
Desulfovibrio piger ATCC 29098,Proteobacteria,,21-04-09,no,,,3185
Desulfovibrio salexigens DSM 2638,Proteobacteria,,19-01-10,yes,1,0,3945
Desulfovibrio vulgaris Hildenborough,Proteobacteria,yes,08-02-05,yes,1,1,3503
Desulfovibrio vulgaris str. DP4,Proteobacteria,,04-12-06,yes,1,1,3190
Desulfovibrio vulgaris str. Miyazaki F,Proteobacteria,,19-01-10,yes,1,0,3290
"Desulfurobacterium thermolithotrophum BSA, DSM 11699",Aquificae,,16-11-10,no,,,1697
Desulfuromonas acetoxidans DSM 684,Proteobacteria,,08-05-07,no,,,3318
Desulfuromonas spp.,Proteobacteria,,,no,,,5986
Diaphorobacter sp. TPSY,Proteobacteria,,21-04-09,yes,1,0,3614
Dichelobacter nodosus VCS1703A,Proteobacteria,yes,24-03-08,yes,1,0,1351
Dickeya dadantii 3937,Proteobacteria,,27-01-09,no,,,4713
Dickeya dadantii Ech586,Proteobacteria,,24-05-10,yes,1,0,4318
Dickeya dadantii Ech703,Proteobacteria,,25-11-09,yes,1,0,4137
Dickeya zeae Ech1591,Proteobacteria,,25-11-09,yes,1,0,4367
Dictyoglomus thermophilum H-6-12,Dictyoglomi,,21-04-09,yes,1,0,1973
Dictyoglomus turgidum DSM 6724,Dictyoglomi,,21-04-09,yes,1,0,1867
Dinoroseobacter shibae DFL 12,Proteobacteria,,24-03-08,yes,1,5,4275
Dorea formicigenerans ATCC 27755,Firmicutes,,24-03-08,no,,,3348
Dorea longicatena DSM 13814,Firmicutes,,24-03-08,no,,,3034
Dyadobacter fermentans DSM 18053,Bacteroidetes,,25-11-09,yes,1,0,5855
Edwardsiella ictaluri 93-146,Proteobacteria,,25-11-09,yes,1,0,3903
Edwardsiella tarda EIB202,Proteobacteria,yes,24-05-10,yes,1,1,3717
Eggerthella lenta DSM 2243,Actinobacteria,,25-11-09,yes,1,0,3184
Ehrlichia canis str. Jake,Proteobacteria,,18-01-06,yes,1,0,984
Ehrlichia chaffeensis str. Arkansas,Proteobacteria,yes,12-04-06,yes,1,0,1158
Ehrlichia chaffeensis str. Sapulpa,Proteobacteria,,08-05-07,no,,,833
Ehrlichia ruminantium str. Gardel,Proteobacteria,yes,25-08-05,yes,1,0,989
Ehrlichia ruminantium str. Welgevonden,Proteobacteria,yes,08-05-07,yes,1,0,961
Eikenella corrodens ATCC 23834,Proteobacteria,,21-04-09,no,,,
Elusimicrobium minutum Pei191,Elusimicrobia,,25-11-09,yes,1,0,1599
Endoriftia persephone 'Hot96_1+Hot96_2',Proteobacteria,,08-05-07,no,,,6450
Enterobacter cancerogenus ATCC 35316,Proteobacteria,,21-04-09,no,,,4672
Enterobacter cloacae subsp. cloacae ATCC 13047,Proteobacteria,yes,09-11-10,yes,1,2,5631
Enterobacter lignolyticus SCF1 (draft),Proteobacteria,,13-04-10,no,,,4408
Enterobacter sakazakii ATCC BAA-894,Proteobacteria,,24-03-08,yes,1,2,4561
Enterobacter sp. 638,Proteobacteria,,24-03-08,yes,1,1,4385
Enterococcus faecalis OG1RF,Firmicutes,yes,21-04-09,no,,,224
Enterococcus faecalis TX0104,Firmicutes,,21-04-09,no,,,
Enterococcus faecalis TX1332,Firmicutes,,21-04-09,no,,,
Enterococcus faecalis V583,Firmicutes,yes,08-05-07,yes,1,3,3410
Enterococcus faecium DO,Firmicutes,,08-05-07,no,,,2779
Epulopiscium sp. 'N.t. morphotype B',Firmicutes,,24-03-08,no,,,2214
Erwinia amylovora ATCC 49946,Proteobacteria,yes,24-05-10,yes,1,2,3712
Erwinia amylovora CFBP1430,Proteobacteria,yes,24-05-10,yes,1,1,3805
Erwinia carotovora subsp. atroseptica SCRI1043,Proteobacteria,yes,,yes,1,0,4614
Erwinia pyrifoliae Ep1/96,Proteobacteria,yes,24-05-10,yes,1,5,3906
Erwinia tasmaniensis Et1/99,Proteobacteria,yes,21-04-09,yes,1,5,3804
Erythrobacter litoralis HTCC2594,Proteobacteria,,12-04-06,yes,1,0,3058
Erythrobacter sp. NAP1,Proteobacteria,,08-05-07,no,,,3223
Erythrobacter sp. SD-21,Proteobacteria,,24-03-08,no,,,2986
Escherichia albertii TW07627,Proteobacteria,,24-03-08,no,,,4890
Escherichia coli 'BL21-Gold(DE3)pLysS AG',Proteobacteria,,09-11-10,yes,1,0,4440
Escherichia coli 101-1,Proteobacteria,,08-05-07,no,,,4238
Escherichia coli 536,Proteobacteria,,22-11-06,yes,1,0,4780
Escherichia coli 53638,Proteobacteria,,25-11-09,no,,,5219
Escherichia coli 55989,Proteobacteria,,21-04-09,yes,1,1,5251
Escherichia coli 83972,Proteobacteria,,21-04-09,no,,,
Escherichia coli APEC O1,Proteobacteria,,24-03-08,yes,1,2,4966
Escherichia coli B,Proteobacteria,,08-05-07,no,,,4435
Escherichia coli B str. REL606,Proteobacteria,,25-11-09,yes,1,0,4378
Escherichia coli B171,Proteobacteria,,08-05-07,no,,,4712
Escherichia coli B7A,Proteobacteria,,08-05-07,no,,,4637
Escherichia coli BW2952,Proteobacteria,yes,25-11-09,yes,1,0,4267
Escherichia coli C str. ATCC 8739,Proteobacteria,,21-04-09,yes,1,0,4410
Escherichia coli CFT073,Proteobacteria,yes,,yes,1,0,5549
Escherichia coli E110019,Proteobacteria,,08-05-07,no,,,4746
Escherichia coli E22,Proteobacteria,,08-05-07,no,,,4788
Escherichia coli E24377A,Proteobacteria,,24-03-08,yes,1,6,5258
Escherichia coli ED1a,Proteobacteria,,21-04-09,yes,1,1,5490
Escherichia coli F11,Proteobacteria,,08-05-07,no,,,4467
Escherichia coli HS,Proteobacteria,,24-03-08,yes,1,0,4630
Escherichia coli IAI1,Proteobacteria,,21-04-09,yes,1,0,4637
Escherichia coli IAI39,Proteobacteria,,21-04-09,yes,1,0,5099
Escherichia coli O103:H2 str. 12009,Proteobacteria,yes,25-11-09,yes,1,1,5545
Escherichia coli O111:H- str. 11128,Proteobacteria,yes,25-11-09,yes,1,5,5935
Escherichia coli O127:H6 str. E2348/69,Proteobacteria,yes,21-04-09,yes,1,2,5037
Escherichia coli O157:H7 EDL933,Proteobacteria,yes,08-05-07,yes,1,1,5542
Escherichia coli O157:H7 str. EC4024,Proteobacteria,,24-03-08,no,,,6540
Escherichia coli O157:H7 str. EC4042,Proteobacteria,,24-03-08,no,,,6400
Escherichia coli O157:H7 str. EC4045,Proteobacteria,,24-03-08,no,,,6360
Escherichia coli O157:H7 str. EC4076,Proteobacteria,,24-03-08,no,,,6082
Escherichia coli O157:H7 str. EC4113,Proteobacteria,,24-03-08,no,,,6067
Escherichia coli O157:H7 str. EC4115,Proteobacteria,,25-11-09,yes,1,2,6066
Escherichia coli O157:H7 str. EC4196,Proteobacteria,,24-03-08,no,,,5923
